Genus;Species;TAB;BIZ;RAF;ZAO;ZAP;ELK;MON;HER;MAH;GAL;MAR;PPR;BPA;PPE;SDO;CBA;TAV;LIV;LAM;CAR;PCO;CHIA;MOR;GIAN;LAMP;MART;MED;ALI;BS;Living habit
Acidostoma ortum J.L. Barnard, 1967 ;Acidostoma;ortum;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.25;Free
Ampelisca diadema (Costa, 1853);Ampelisca;diadema;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;10;Tube
Ampelisca rubella A. Costa, 1864;Ampelisca;rubella;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;4.75;Tube
Ampelisca serraticaudata Chevreux, 1888;Ampelisca;serraticaudata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4.25;Tube
Ampelisca spinipes Boeck, 1861;Ampelisca;spinipes;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;15;Tube
Ampelisca tenuicornis Liljeborg, 1855;Ampelisca;tenuicornis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;8;Tube
Ampelisca unidentata Schellenberg, 1936;Ampelisca;unidentata;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;Tube
Apolochus brunneus (Della Valle, 1893);Apolochus;brunneus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2.75;Free
Apolochus neapolitanus (Della Valle, 1893);Apolochus;neapolitanus;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;0;0;4;Free
Apolochus picadurus (J. L. Barnard, 1962);Apolochus;picadurus;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;3.5;Free
Gitana sarsi Boeck, 1871;Gitana;sarsi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;3;Free
Ampithoe ferox (Chevreux, 1901);Ampithoe;ferox;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8.5;Tube
Ampithoe ramondi Audouin, 1826;Ampithoe;ramondi;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;0;1;13;Tube
Cymadusa crassicornis (Costa, 1853);Cymadusa;crassicornis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;9.5;Tube
